2|CM00407_20060103|S|Successful add of a RateSchedule
184|SBM72CIT_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
184|SBM72CIT_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #184 of the data file and line #166 of the Rejects file Server Commit Status is: Not found
185|SURF41M1_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
185|SURF41M1_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #185 of the data file and line #167 of the Rejects file Server Commit Status is: Not found
186|WFHET 04-2 M6_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
186|WFHET 04-2 M6_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #186 of the data file and line #168 of the Rejects file Server Commit Status is: Not found
187|FH2292KF_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
187|FH2292KF_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #187 of the data file and line #169 of the Rejects file Server Commit Status is: Not found
188|FN0136F_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
188|FN0136F_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #188 of the data file and line #170 of the Rejects file Server Commit Status is: Not found
189|FN0223F_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
189|FN0223F_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #189 of the data file and line #171 of the Rejects file Server Commit Status is: Not found
190|FN0225FX_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
190|FN0225FX_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #190 of the data file and line #172 of the Rejects file Server Commit Status is: Not found
191|FN0252FD_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
191|FN0252FD_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #191 of the data file and line #173 of the Rejects file Server Commit Status is: Not found
192|FN0260FH_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
192|FN0260FH_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #192 of the data file and line #174 of the Rejects file Server Commit Status is: Not found
193|FN0264FA_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
193|FN0264FA_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #193 of the data file and line #175 of the Rejects file Server Commit Status is: Not found
194|FN0266FG_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
194|FN0266FG_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #194 of the data file and line #176 of the Rejects file Server Commit Status is: Not found
195|FN0316NF_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
195|FN0316NF_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #195 of the data file and line #177 of the Rejects file Server Commit Status is: Not found
196|FN0365NS_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
196|FN0365NS_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #196 of the data file and line #178 of the Rejects file Server Commit Status is: Not found
197|FN0367TF_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
197|FN0367TF_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #197 of the data file and line #179 of the Rejects file Server Commit Status is: Not found
198|FN0427FM_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
198|FN0427FM_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #198 of the data file and line #180 of the Rejects file Server Commit Status is: Not found
199|FN0470DF_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
199|FN0470DF_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #199 of the data file and line #181 of the Rejects file Server Commit Status is: Not found
200|FN0521BS_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
200|FN0521BS_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #200 of the data file and line #182 of the Rejects file Server Commit Status is: Not found
201|FN0537FA_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
201|FN0537FA_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #201 of the data file and line #183 of the Rejects file Server Commit Status is: Not found
202|FN057SC_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
202|FN057SC_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #202 of the data file and line #184 of the Rejects file Server Commit Status is: Not found
203|FN2138FB_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
203|FN2138FB_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #203 of the data file and line #185 of the Rejects file Server Commit Status is: Not found
204|FN3128MS_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
204|FN3128MS_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #204 of the data file and line #186 of the Rejects file Server Commit Status is: Not found
205|FN3247FE_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
205|FN3247FE_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #205 of the data file and line #187 of the Rejects file Server Commit Status is: Not found
206|FN9134F_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
206|FN9134F_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #206 of the data file and line #188 of the Rejects file Server Commit Status is: Not found
207|FN9487F_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
207|FN9487F_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #207 of the data file and line #189 of the Rejects file Server Commit Status is: Not found
208|FN9489F_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
208|FN9489F_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #208 of the data file and line #190 of the Rejects file Server Commit Status is: Not found
209|FNG935F_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
209|FNG935F_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #209 of the data file and line #191 of the Rejects file Server Commit Status is: Not found
210|NWSTR 05-1A C_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
210|NWSTR 05-1A C_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #210 of the data file and line #192 of the Rejects file Server Commit Status is: Not found
211|SLMA993C_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
211|SLMA993C_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #211 of the data file and line #193 of the Rejects file Server Commit Status is: Not found
212|ACAS 05-1A C_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
212|ACAS 05-1A C_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #212 of the data file and line #194 of the Rejects file Server Commit Status is: Not found
213|FN0342AS_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
213|FN0342AS_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #213 of the data file and line #195 of the Rejects file Server Commit Status is: Not found
214|RAMP37I3_20060125|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
214|RAMP37I3_20060125|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #214 of the data file and line #196 of the Rejects file Server Commit Status is: Not found
215|HSBC072707_20060127|S|Successful add of a RateSchedule
216|IMT20052L1A_20060127|S|Successful add of a RateSchedule
217|GS1027206_20060127|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
217|GS1027206_20060127|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #217 of the data file and line #197 of the Rejects file Server Commit Status is: Not found
218|IMT20052LXA1_20060127|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
218|IMT20052LXA1_20060127|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #218 of the data file and line #198 of the Rejects file Server Commit Status is: Not found
219|MWD072707_20060127|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
219|MWD072707_20060127|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #219 of the data file and line #199 of the Rejects file Server Commit Status is: Not found
220|JSB1XA_20060128|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
220|JSB1XA_20060128|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #220 of the data file and line #200 of the Rejects file Server Commit Status is: Not found
221|LNR 05-1A FFL_20060128|F|FAILURE: At least one entry in the variable rate record has been rejected, causing the entire screen to be rejected. The following are bad entries: 
221|LNR 05-1A FFL_20060128|F|FAILURE: Bad Attempt to Update a Variable Rate Entry. The bad rate is the #1 entry in this variable rate record. The entry is on line #221 of the data file and line #201 of the Rejects file Server Commit Status is: Not found
222|AXP022806_20060130|S|Successful add of a RateSchedule
223|USB072806_20060130|S|Successful add of a RateSchedule
224|STI51707_20051117|S|Successful add of a RateSchedule
225|RBS112406_20051125|S|Successful add of a RateSchedule
